lat,lon,C2NMA,C2NKG,C2EGG
70.375,31.104,-7.402369767931011,-11.426067447241113,-8.589357077753629
70.98,25.973,-9.138329944611934,-8.294187758536074,-10.006310032952396
70.665,23.683,2.932763093318375,-3.369557596578563,-4.054546729299588
69.647,18.961,-4.563556054126062,-4.035616630442405,-0.16195751244478984
69.326,16.135,-6.9256117226389975,-4.337797097384843,-17.505433639486785
68.801,16.548,-3.8126621327911394,-9.657855991025732,-10.491481455514268
68.213,14.482,2.411834817359601,-1.940685690247495,0.35476407487905703
67.288,14.391,-9.100469746897568,-10.009114492042348,-7.899460141625186
64.86,11.23,0.17668092266703894,-0.1752786931220669,-0.15494636471990475
63.869,8.666,-1.131599242796046,0.7186426418004608,0.3218116805721074
63.425,9.102,-0.24749351468835457,1.8123816868821407,3.2854238238799667
63.114,7.734,2.3382177662483343,7.418495407698238,3.170441001191893
62.469,6.152,2.374675734417721,2.8626516160695488,3.5371240272032516
61.934,5.113,6.007151370679377,8.86980298674893,9.038070532146111
60.398,5.321,7.469676786089881,8.40215943349926,9.254013882072492
58.974,5.73,2.258290682184672,4.234733225829068,4.2445488326439005
58.006,7.555,3.9213349225268175,6.786790997686317,7.801304073476825
58.995,9.856,7.080558087358899,7.972376077963961,9.71745074668723
59.036,10.95,5.477809717450743,4.208090864474514,8.465259763023205
